st_date,st_lat,st_lng,st_nc,st_address,n_cluster,new_cases_cluster,cases_cluster,date_today_cases,number_today_cases,total_number_accumulative
2016-02-12,1.367303,103.928092,2,      Tampines Avenue 1      (Blk 890B)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3497514,103.9344215,4,      Tampines Avenue 3       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3516172,103.94133,82,      Tampines Avenue 4       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.34703,103.937957,2,      Tampines Avenue 4      (Blk 801)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.346069,103.938108,1,      Tampines Avenue 4      (Blk 802)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3453691,103.9376898,6,      Tampines Avenue 4      (Blk 803)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3457637,103.9374053,14,      Tampines Avenue 4      (Blk 804)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3461174,103.9374268,8,      Tampines Avenue 4      (Blk 805)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3455505,103.9368897,15,      Tampines Avenue 4      (Blk 806)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3458764,103.9360865,11,      Tampines Avenue 4      (Blk 807)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3464721,103.9359966,5,      Tampines Avenue 4      (Blk 808)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3461403,103.9364943,4,      Tampines Avenue 4      (Blk 809)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3464704,103.9366277,7,      Tampines Avenue 4      (Blk 810)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3465413,103.9373717,6,      Tampines Avenue 4      (Blk 811)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3469652,103.9373644,6,      Tampines Avenue 4      (Blk 812)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3472567,103.9375412,2,      Tampines Avenue 4      (Blk 815)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3477112,103.9375611,5,      Tampines Avenue 4      (Blk 816)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.350297,103.941165,1,      Tampines Avenue 5      (Blk 943)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3492034,103.9291124,1,      Tampines Avenue 8      (Blk 892)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
2016-02-12,1.3489327,103.9295877,6,      Tampines Avenue 8      (Blk 892A)       ,1,    6     ,    278     ,Feb 12 at 3.30pm,                                  29                              ,  							                                  3279  								                              
