week,2012,2013,2014,2015,2016
1,74,132,436,256,546
2,138,336,915,484,1169
3,198,555,1316,721,1804
4,248,819,1652,980,2428
5,332,1111,1886,1192,2958
6,419,1433,2159,1365,
7,484,1679,2528,1464,
8,534,1973,2721,1636,
9,589,2220,2907,1825,
10,634,2492,3116,1935,
11,698,2799,3340,2026,
12,770,3104,3550,2155,
13,818,3418,3775,2245,
14,870,3820,4015,2352,
15,951,4311,4259,2489,
16,1028,4816,4494,2602,
17,1092,5352,4776,2722,
18,1178,5899,5027,2857,
19,1274,6455,5288,3014,
20,1354,7066,5579,3123,
21,1434,7703,6006,3301,
22,1515,8445,6462,3452,
23,1614,9258,6920,3644,
24,1701,10063,7426,3851,
25,1829,10901,7976,4091,
26,1980,11703,8647,4333,
27,2120,12379,9535,4605,
28,2251,12919,10353,4868,
29,2375,13308,11097,5161,
30,2485,13613,11730,5411,
31,2579,13901,12214,5637,
32,2706,14156,12759,5858,
33,2821,14534,13197,6108,
34,2913,14872,13615,6333,
35,3015,15254,13982,6579,
36,3090,15703,14321,6796,
37,3163,16040,14683,7099,
38,3235,16410,15079,7313,
39,3334,16812,15423,7570,
40,3437,17251,15762,7805,
41,3559,17686,16040,8040,
42,3664,18057,16337,8264,
43,3748,18552,16550,8510,
44,3852,19009,16736,8776,
45,3951,19410,16904,8974,
46,4038,19852,17062,9228,
47,4137,20217,17211,9513,
48,4217,20589,17373,9772,
49,4295,20936,17585,10128,
50,4399,21316,17762,10461,
51,4491,21687,17960,10830,
52,4602,22101,18148,11288,
53,,,18306,,
