week,2012,2013,2014,2015,2016
1,74,132,436,256,546
2,64,204,479,228,623
3,60,219,401,237,635
4,50,264,336,259,624
5,84,292,234,212,530
6,87,322,273,173,
7,65,246,369,99,
8,50,294,193,172,
9,55,247,186,189,
10,45,272,209,110,
11,64,307,224,91,
12,72,305,210,129,
13,48,314,225,90,
14,52,402,240,107,
15,81,491,244,137,
16,77,505,235,113,
17,64,536,282,120,
18,86,547,251,135,
19,96,556,261,157,
20,80,611,291,109,
21,80,637,427,178,
22,81,742,456,151,
23,99,813,458,192,
24,87,805,506,207,
25,128,838,550,240,
26,151,802,671,242,
27,140,676,888,272,
28,131,540,818,263,
29,124,389,744,293,
30,110,305,633,250,
31,94,288,484,226,
32,127,255,545,221,
33,115,378,438,250,
34,92,338,418,225,
35,102,382,367,246,
36,75,449,339,217,
37,73,337,362,303,
38,72,370,396,214,
39,99,402,344,257,
40,103,439,339,235,
41,122,435,278,235,
42,105,371,297,224,
43,84,495,213,246,
44,104,457,186,266,
45,99,401,168,198,
46,87,442,158,254,
47,99,365,149,285,
48,80,372,162,259,
49,78,347,212,356,
50,104,380,177,333,
51,92,371,198,369,
52,111,414,188,458,
53,,,158,,
